Specific Component;Variable;Instance;Required?;DataType;Unit;Description
<generic>;ACCurrent;;no;decimal;A;RMS AC Current (in amperes). For 3-phase circuits, each phase (and optional neutral) is represented by a Variable instance equal to a value of the PhaseEnumType (e.g. L1,N). Unkeyed values reported for a Component declared to be multi-phase are assumed to be an average of all per-phase readings and written values are common per-phase settings. Example(s): ChargingStation: Total AC current consumption (all EVSE’s, ancillaries), EVSE: Total current consumed by EVSE: includes losses (AC->DC) and EVSE specific ancillaries (e.g. fans), ElectricalFeed: Inflow AC current on feed
<generic>;Active;;no;boolean;;Component is in its non-resting / active state: e.g: On, Engaged, Locked. Some Components may have secondary functions that have corresponding Active Variables with an explicit Variable instance., Note: Monitoring of changes in the Active state of any Component can be specified by setting Delta monitoring on the boolean value with a delta values of 1. Setting/clearing an Active Variable activates/stops the associated functionality, where remotely controllable. Only components that are Available and Enabled can be in the Active state.
<generic>;ACVoltage;;no;decimal;V;RMS AC Voltage (in volts). For 3-phase circuits, each phase (and optional neutral) is represented by a Variable instance equal to a value of the PhaseEnumType (e.g. L1,N). Unkeyed values reported for a Component declared to be multi-phase are assumed to be an average ofall per-phase readings and written values are common per-phase settings. Example(s): ElectricalFeed: Input Voltage
<generic>;AllowReset;;no;boolean;;Component can be reset.
<generic>;Angle;;no;decimal;Deg;Angle(s) relative to normal/design idle position. Multiple Variable instance values may be used to indicate angular position in multiple axes (e.g. Left-Right, Forward-Back).
<generic>;Attempts;;no;integer;;Number of attempts (INCLUDING the original attempt) in the last successful or attempted, cycle of operation. Applies typically to self-monitoring motorized electro-mechanical equipment, etc. {Null}: Unknown, 0: Not Attempted/Not allowed, 1: Single attempt/No retries [allowed], 2-N: [up to] N tries [allowed]
<generic>;Available;;no;boolean;;The Component exists and is locally configured/wired for use, but might not be (remotely) Enabled.
<generic>;Certificate;;no;string;;Digital Certificate (in Base64 encoding)
<generic>;Color;;no;string;;Standard 24 bit hexadecimal RGB values. Reg Green Blue color intensity, expressed as standard 24 bit hexadecimal RGB values: 3  00-FF (0-255), in order RRGGBB). E.g. 000000: Black, FF0000: Red, 00FF00: Green, 0000FF: Blue, FFFF00:Yellow, FFFFFF: White, 008000: Medium intensity green.
<generic>;Complete;;no;boolean;;Component operation cycle has completed. Used only in event notifications, where it is always true.
<generic>;ConnectedTime;;no;decimal;s;Time since logical connection established
<generic>;Count;;no;integer;;General purpose integer count variable for Component state reporting
<generic>;CurrentImbalance;;no;decimal;Percent;Percentage current imbalance in an AC three phase supply.
<generic>;DataText;;no;string;;Text associated with a Component, e.g. a Display.
<generic>;DateTime;;no;dateTime;;Point in time value, in [RFC3339] datetime format. Time zone optional.
<generic>;DCCurrent;;no;decimal;A;DC Current (in amperes). May be an instantaneous measurement, or a period average, depending on context/equipment.
<generic>;DCVoltage;;no;decimal;V;DC Voltage (volts). May be an instantaneous measurement, or a period average, depending on context/equipment.
<generic>;ECVariant;;no;string;;Production series variants reflecting internal design changes or sub-component substitutions not affecting external functionality.
<generic>;Enabled;;no;boolean;;The Component is Enabled for operation. For Available components that cannot be selectively (remotely) enabled / disabled, this value is always true. Note: Available cannot be false of Enabled is true, so during inventory reporting, Enabled=1 also logically states Available=true
<generic>;Energy;;no;decimal;Wh, kWh;Energy quantity (in Wh) for reporting/configuring values related to stored energy (i.e. not transferred energy).
<generic>;Entries;;no;integer;;General purpose variable for reporting/managing numbers of entries in repetitive data structures. maxLimit characteristic reports maximum possible entries.
<generic>;Fallback;;no;boolean;;Component is operating in a fallback, or backup mode. In inventory reports, a Value of 1 for the maxLimit characteristic indicates that the component can enter a fallback state (i.e. a fallback mode is present).
<generic>;FanSpeed;;no;decimal;RPM;Fan Speed (in RPM). A value of 0 represents stopped/stalled. An empty value indicates that fan speed cannot be read.
<generic>;FirmwareVersion;;no;string;;Version number of firmware.
<generic>;Force;;no;decimal;N;Reports (impact) force/ acceleration values (estimates) in one or more directions, in units of Newtons or “g”. Multiple force readings in different (orthogonal) dimensions may be reported using Variable instance values, such as Down, Right, Forward.
<generic>;Formats;;no;MemberList;;List of message formats supported by this Charging Station. Possible values: ASCII, HTML, URI, UTF-8.
<generic>;Frequency;;no;decimal;Hz;Frequency of AC power, signal, or component operation.
<generic>;FuseRating;;no;decimal;A;Current rating of a fuse/breaker. Variable instances keyed by phase identifier (L1/L2/L3/N).
<generic>;Height;;no;decimal;m;Height above(+)/below(-) reference level (ground level unless context demands otherwise).
<generic>;Humidity;;no;decimal;RH;The relative humidity in %.
<generic>;Hysteresis;;no;decimal;Percent;Specifies the width of a 'dead band' (as a percentage of the threshold) around the central value of a threshold setting (e.g. MinSet, MaxSet, monitor thresholds) to avoid repeated triggering when the measured quantity lies close to the threshold and is subject to small variations.
<generic>;ICCID;;no;string;;ICCID (Integrated Circuit Card IDentifier) of mobile data SIM card.
<generic>;Impedance;;no;decimal;Ohm;Impedance: Primary value is real (resistive only) impedance. Where a complex impedance is to be reported, the imaginary part (reactance) must be represented with a separate Variable instance value of 'reactance'. Reactance values are expressed at the (nominal) relevant operating frequency of the Component (e.g. 50/60Hz for mains electricity feed).
<generic>;IMSI;;no;string;;IMSI (International Mobile Subscriber Identity) number of mobile data SIM card
<generic>;Interval;;no;integer;s;Minimum Interval (in seconds) between (attempted) operations.
<generic>;Length;;no;decimal;m;General Purpose linear distance measure.
<generic>;Light;;no;decimal;lx;(Ambient) light level. The value is in Lux.
<generic>;Manufacturer;;no;string;;Component Manufacturer name
<generic>;Message;;no;string;;Specific stored message for display.
<generic>;MinimumStatusDuration;;no;integer;s;Minimum duration that a Charging Station or EVSE status is stable before StatusNotificationRequest is sent to the CSMS.
<generic>;Mode;;no;string;;Operating mode string from among valid options (communicated by OptionList, etc. during capability/configuration  discovery).
<generic>;Model;;no;string;;"Manufacturer's Model code/number of Component, including suffixes etc. to identify functional, regional or linguistic variation, but NOT engineering change level internal 				variation not affecting external behaviour, etc."
<generic>;NetworkAddress;;no;string;;Current network address of a Component.
<generic>;Operated;;no;boolean;;The Component operated in an instantaneous, transient, or immediately self-resetting pattern. Used only in event notifications, where it is always true.
<generic>;OperatingTimes;;no;string;;Recurring operating times in iCalendar RRULE format.
<generic>;Overload;;no;boolean;;Component is in Overload state.
<generic>;Percent;;no;decimal;Percent;Generic dimensionless value reporting/setting value.
<generic>;PhaseRotation;;no;OptionList;;The phase wiring of Component, relative to it's upstream feed Component/device. This variable describes the phase rotation of a Component relative to its parent Component, using a three letter string consisting of the letters: R, S, T and x. The letter 'R' can be identified as phase 1 (L1), 'S' as phase 2 (L2), 'T' as phase 3 (L3). The lower case 'x' is used to designate a phase that is not connected. An empty string means that phase rotation is not applicable or not known.
<generic>;PostChargingTime;;no;decimal;s;Elapsed time in seconds since last substantive energy transfer
<generic>;Power;;no;decimal;W, kW;Instantaneous (real) Power (measured/calculated, including power factor for AC). Where a component (e.g. AC to DC Power Converter) has multiple power measurements, the default (unkeyed) instance is “input” power.
<generic>;Problem;;no;boolean;;Component itself has a 'Problem' condition that impacts in any significant way on its normal operation. By definition, 'Problem' state includes (logical OR) 'Fault' state. 'Problem' specifically INCLUDES inability to operate that is propagated (up/down/sideways) from any other associated/connected/containing/contained Component.
<generic>;Protecting;;no;boolean;;Applies to 'sensor' type Components that have an associated protection capability, whereby they can  disconnect power (e.g. using the main PowerContactor) if the sensed quantity is outside preset/configured limits. If Protecting is true, the Component is actively preventing/interrupting charging.
<generic>;SerialNumber;;no;string;;Serial number of Component.
<generic>;SignalStrength;;no;decimal;dBm;(Radio/Wired/Optical) data signal strength, in ASU (typically 0-31 or 99 for unknown). Or dbmW (typically -140 to -50).
<generic>;State;;no;string;;A state code or name identifier string, to allow the internal state of  components to be reported and/or  controlled
<generic>;StateOfCharge;;no;decimal;Percent;Energy Storage Device (e.g. battery) state of charge, expressed as a percentage of nominal design 0-100% operating range. Note: Values below or above 0-100% are possible and represent over discharged/charged states.
<generic>;Storage;;no;integer;B;In bytes. Amount of storage occupied. Storage(maxLimit) specifies absolute limit Storage(MaxSet) restricts usage to specified Max, if supported.
<generic>;SupplyPhases;;no;integer;;Number of alternating current phases connected/available. 1 or 3 for AC, 0 means DC (no alternating phases). Null value indicates that the number of phases (e.g. in use) is unknown.
<generic>;Suspending;;no;boolean;;If Suspending is true, the Component can is currently suspending charging.
<generic>;Suspension;;no;boolean;;Applies to 'sensor' type Components that have a charging suspension capability, typically for safety or equipment protection reasons. If Suspension is true, the component can suspend charging when the sensed quantity is outside preset/configured limits.
<generic>;Temperature;;no;decimal;Celsius, Fahrenheit;Temperature(s) of component (in Celsius, by default). Components may have multiple indexed temperature sensors.
<generic>;Time;;no;dateTime;;Point in time value, in ISO 8601 datetime format. Time zone optional.
<generic>;Timeout;;no;decimal;s;Generic timeout value for Component operation (in seconds).
<generic>;Tries;;no;integer;;Number of attempts done by a Component.
<generic>;Tripped;;no;boolean;;Single-shot device requires explicit intervention to re-prime/activate to normal.
<generic>;VendorName;;no;string;;Vendor or manufacturer of component.
<generic>;VersionDate;;no;dateTime;;Version date of component in [RFC3339] format.
<generic>;VersionNumber;;no;string;;Version number of hardware
<generic>;VoltageImbalance;;no;decimal;Percent;Percentage voltage imbalance in three phase supply.
AlignedDataCtrlr;Available;;no;boolean;;If this variable reports a value of true, Clock-Aligned Data is supported.
AlignedDataCtrlr;Enabled;;no;boolean;;If this variable reports a value of true, Clock-Aligned Data is enabled
AlignedDataCtrlr;Interval;;yes;integer;s;Size (in seconds) of the clock-aligned data interval, intended to be transmitted in the MeterValuesRequest message.
AlignedDataCtrlr;Measurands;;yes;MemberList;;Clock-aligned measurand(s) to be included in MeterValuesRequest, every AlignedDataInterval seconds.
AlignedDataCtrlr;SendDuringIdle;;no;boolean;;If set to true, the Charging Station SHALL NOT send clock aligned meter values when a transaction is ongoing.
AlignedDataCtrlr;SignReadings;;no;boolean;;If set to true, the Charging Station SHALL include signed meter values in the SampledValueType in the MeterValuesRequest to the CSMS.
AlignedDataCtrlr;TxEndedInterval;;yes;integer;s;Size (in seconds) of the clock-aligned data interval, intended to be transmitted in the TransactionEventRequest (eventType = Ended) message.
AlignedDataCtrlr;TxEndedMeasurands;;yes;MemberList;;Clock-aligned measurands to be included in the meterValues element of TransactionEventRequest (eventType = Ended), every SampledDataTxEndedInterval seconds from the start of the transaction.
AuthCacheCtrlr;Available;;no;boolean;;Authorization caching is available, but not necessarily enabled.
AuthCacheCtrlr;Enabled;;no;boolean;;If set to true, Authorizaiton caching is enabled.
AuthCacheCtrlr;LifeTime;;no;integer;;Indicates how long it takes until a token expires in the authorization cache since it is last used
AuthCacheCtrlr;Policy;;no;OptionList;;Cache Entry Replacement Policy: least recently used, least frequently used, first in first out, other custom mechanism.
AuthCacheCtrlr;Storage;;no;integer;B;Indicates the number of bytes currently used by the Authorization Cache. MaxLimit indicates the maximum number of bytes that can be used by the Authorization Cache.
AuthCacheCtrlr;DisablePostAuthorize;;no;boolean;;When set to true this variable disables the behavior to request authorization for an idToken that is stored in the cache with a status other than Accepted, as stated in C10.FR.03 and C12.FR.05.
AuthCtrlr;AdditionalInfoItemsPerMessage;;no;integer;;Maximum number of AdditionalInfo items that can be sent in one message.
AuthCtrlr;AuthorizeRemoteStart;;yes;boolean;;Whether a remote request to start a transaction in the form of RequestStartTransactionRequest message should be authorized beforehand like a local action to start a transaction.
AuthCtrlr;Enabled;;no;boolean;;If set to false, then no authorization is done before starting a transaction or when reading an idToken. If an idToken was provided, then it will be put in the idToken field of the TransactionEventRequest. If no idToken was provided, then idToken in TransactionEventRequest will be left empty and type is set to NoAuthorization.
AuthCtrlr;LocalAuthorizeOffline;;yes;boolean;;Whether the Charging Station, when Offline, will start a transaction for locally-authorized identifiers
AuthCtrlr;LocalPreAuthorize;;yes;boolean;;Whether the Charging Station, when online, will start a transaction for locally-authorized identifiers without waiting for or requesting an AuthorizeResponse from the CSMS.
AuthCtrlr;MasterPassGroupId;;no;string;;IdTokens that have this id as groupId belong to the Master Pass Group. Meaning they can stop any ongoing transaction, but cannot start transactions.
AuthCtrlr;OfflineTxForUnknownIdEnabled;;no;boolean;;Support for unknown offline transactions.
AuthCtrlr;DisableRemoteAuthorization;;no;boolean;;When set to true this instructs the Charging Station to not issue any AuthorizationRequests, but only use Authorization Cache and Local Authorization List to determine validity of idTokens.
CHAdeMOCtrlr;SelftestActive;;no;boolean;;Self-test is active or self-test is started by setting to true.
CHAdeMOCtrlr;CHAdeMOProtocolNumber;;no;integer;;CHAdeMO protocol number (H'102.0)
CHAdeMOCtrlr;VehicleStatus;;no;boolean;;Vehicle status (H'102.5.3)
CHAdeMOCtrlr;DynamicControl;;no;boolean;;Vehicle is compatible with dynamic control (H'110.0.0)
CHAdeMOCtrlr;HighCurrentControl;;no;boolean;;Vehicle is compatible with high current control (H'110.0.1)
CHAdeMOCtrlr;HighVoltageControl;;no;boolean;;Vehicle is compatible with high voltage control (H'110.1.2)
CHAdeMOCtrlr;AutoManufacturerCode;;no;integer;;Auto manufacturer code (H'700.0)
ChargingStation;AllowNewSessionsPendingFirmwareUpdate;;no;boolean;;Indicates whether new sessions can be started on EVSEs, while Charging Station is waiting for all EVSEs to become Available in order to start a pending firmware update
ChargingStation;AvailabilityState;;yes;OptionList;;This variable reports current availability state for the ChargingStation
ChargingStation;Available;;yes;boolean;;Component exists
ChargingStation;Model;;no;string;;Charging station model as reported in BootNotification.
ChargingStation;SupplyPhases;;yes;integer;;Number of alternating current phases connected/available.
ChargingStation;VendorName;;no;string;;Charging station vendor name as reported in BootNotification.
ClockCtrlr;DateTime;;yes;dateTime;;Contains the current date and time
ClockCtrlr;NextTimeOffsetTransitionDateTime;;no;dateTime;;Date time of the next time offset transition.
ClockCtrlr;NtpServerUri;;no;string;;This contains the address of the NTP server.
ClockCtrlr;NtpSource;;no;OptionList;;When an NTP client is implemented, this variable can be used to configure the client
ClockCtrlr;TimeAdjustmentReportingThreshold;;no;integer;;If set, then time adjustments with an absolute value in seconds larger than this need to be reported as a security event SettingSystemTime
ClockCtrlr;TimeOffset;;no;string;;A Time Offset with respect to Coordinated Universal Time (aka UTC or Greenwich Mean Time) in the form of an [RFC3339] time (zone) offset suffix, including the mandatory “+” or “-“ prefix.
ClockCtrlr;TimeSource;;yes;SequenceList;;Via this variable, the Charging Station provides the CSMS with the option to configure multiple clock sources
ClockCtrlr;TimeZone;;no;string;;"Configured current local time zone in the format: ""Europe/Oslo"", ""Asia/Singapore"" etc. For display purposes."
ConnectedEV;ProtocolAgreed;;no;string;;Information about uri and version that was agreed upon between EV and EVSE in the supportedAppProtocolReq message from ISO 15118. Example: urn:iso:15118:2:2013:MsgDef,2,0
ConnectedEV;ProtocolSupportedByEV;<Priority>;no;string;;Information from the supportedAppProtocolReq message from ISO 15118. Each priority is given its own variable instance. Example: urn:iso:15118:2:2013:MsgDef,2,0
ConnectedEV;VehicleID;;no;string;;EVCCID (from ISO 15118 SessionSetupReq)
Connector;AvailabilityState;;no;OptionList;;This variable reports current availability state for the Connector. Optional, because already reported in StatusNotification.
Connector;Available;;yes;boolean;;Component exists
Connector;ChargeProtocol;;no;string;;The Charging Control Protocol applicable to a Connector. CHAdeMO: CHAdeMO protocol, ISO15118: ISO15118 V2G protocol (wired or wireless) as used with CCS, CPPWM: IEC61851-1 / SAE J1772  protocol (ELV DC & PWM signalling via Control Pilot wire), Uncontrolled: No charging power management applies (e.g. Schuko socket), Undetermined: Yet to be determined (e.g. before plugged in), Unknown: Not determinable, NOTE: ChargeProtocol is distinct from and orthogonal to connectorType.
Connector;ConnectorType;;yes;string;;A value of ConnectorEnumType (See part 2) plus additionally: cGBT, cChaoJi, OppCharge. Specific type of connector, including sub-variant information. Note: Distinct and orthogonal to Charging Protocol, Power Type, Phases.
Connector;SupplyPhases;;yes;integer;;Number of alternating current phases connected/available.
Controller;MaxMsgElements;;no;integer;;Array of implementation-defined limits to the number of elements of specific type that the Charging Station can accept in one message.
CPPWMController;State;;no;string;;"IEC 61851-1 states (""A"" to ""E"")"
CustomizationCtrlr;CustomImplementationEnabled;<vendorId>;no;boolean;;Custom implementation <vendorId> has been enabled.
DeviceDataCtrlr;BytesPerMessage;GetReport;yes;integer;;Maximum number of bytes in a message related to instance name: GetReport, GetVariables, SetVariables
DeviceDataCtrlr;BytesPerMessage;GetVariables;yes;integer;;Maximum number of bytes in a message related to instance name: GetReport, GetVariables, SetVariables
