url_path,views_total,views_unique
/SAP/e-mobility-charging-stations-simulator,124,81
/sap/e-mobility-charging-stations-simulator,19,17
/SAP/e-mobility-charging-stations-simulator/blob/main/ui/web/README.md,16,13
/SAP/e-mobility-charging-stations-simulator/issues,11,7
/SAP/e-mobility-charging-stations-simulator/blob/main/README.md,8,7
/SAP/e-mobility-charging-stations-simulator/pulls,7,5
/SAP/e-mobility-charging-stations-simulator/tree/main,6,4
/SAP/e-mobility-charging-stations-simulator/tree/main/src,6,4
/SAP/e-mobility-charging-stations-simulator/security,4,2
/SAP/e-mobility-charging-stations-simulator/compare/webui@v1.5.1...webui@v1.5.2,3,3
